from;to;throughput_gbitsec
cn01;cn02;9.412550935296
cn01;cn02;9.412574033345
cn01;cn03;9.327438175424
cn01;cn03;9.328332310591
cn01;cn04;9.144638154479
cn01;cn04;9.144026627945
cn01;infra1;9.402988032277
cn01;infra1;9.403125712676
cn01;infra2;9.300148368987
cn01;infra2;9.299893470231
cn02;cn01;9.390349639909
cn02;cn01;9.390935595180
cn02;cn03;9.376373624280
cn02;cn03;9.376166512879
cn02;cn04;9.401538683692
cn02;cn04;9.401486516532
cn02;infra1;9.161515951444
cn02;infra1;9.161259434491
cn02;infra2;9.302313887941
cn02;infra2;9.301343810867
cn03;cn01;9.377248063419
cn03;cn01;9.376787455988
cn03;cn02;9.314882114429
cn03;cn02;9.316035689857
cn03;cn04;9.255260691630
cn03;cn04;9.254894847606
cn03;infra1;9.283225207806
cn03;infra1;9.283181366196
cn03;infra2;9.305422254756
cn03;infra2;9.305234348764
cn04;cn01;9.355053030709
cn04;cn01;9.354387187584
cn04;cn02;9.323423448985
cn04;cn02;9.323946662016
cn04;cn03;9.393162907431
cn04;cn03;9.393777181383
cn04;infra1;9.406066212196
cn04;infra1;9.406131992735
cn04;infra2;9.360127392187
cn04;infra2;9.359116760535
infra1;cn01;9.411836040728
infra1;cn01;9.410726259028
infra1;cn02;9.410802209128
infra1;cn02;9.409723602259
infra1;cn03;9.411851099678
infra1;cn03;9.412998518439
infra1;cn04;9.402063285444
infra1;cn04;9.401099498911
infra1;infra2;9.414296994484
infra1;infra2;9.413705554951
infra2;cn01;9.414115641804
infra2;cn01;9.411372600877
infra2;cn02;9.413595746798
infra2;cn02;9.414628158631
infra2;cn03;9.402588357361
infra2;cn03;9.401845223767
infra2;cn04;9.411501574060
infra2;cn04;9.411430310452
infra2;infra1;9.413759369931
infra2;infra1;9.412601356730
