------------------------------------------------------------------------
    CXI RDMA Read Latency Test
Device           : cxi0
Service ID       : 1
Client TX Mem    : System
Server RX Mem    : System
Test Type        : Iteration
Iterations       : 100
Warmup Iters     : 10
Inter-Iter Gap   : 1000 microseconds
Min Read Size    : 1
Max Read Size    : 4194304
Restricted       : Enabled
LL Cmd Launch    : Enabled
Results Reported : Summary
Hugepages        : Disabled
Local (client)   : NIC 0x1 PID 0 VNI 1
Remote (server)  : NIC 0x0 PID 0
------------------------------------------------------------------------
RDMA Size[B]       Reads     Min[us]     Max[us]    Mean[us]  StdDev[us]
           1         100        2.70        3.08        2.75        0.08
           2         100        2.71        3.06        2.75        0.09
           4         100        2.63        3.05        2.72        0.10
           8         100        2.61        2.92        2.65        0.04
          16         100        2.61       16.61        2.78        1.39
          32         100        2.61        2.85        2.65        0.05
          64         100        2.62        3.01        2.67        0.08
         128         100        2.64        2.94        2.68        0.04
         256         100        2.66        7.53        2.74        0.48
         512         100        2.69        3.01        2.74        0.07
        1024         100        2.79        3.13        2.83        0.05
        2048         100        2.95        3.20        2.99        0.08
        4096         100        3.05        3.42        3.11        0.09
        8192         100        3.32        3.64        3.37        0.06
       16384         100        3.65        4.06        3.70        0.08
       32768         100        4.33        4.60        4.41        0.11
       65536         100        5.67        5.96        5.74        0.11
      131072         100        8.37       19.53        8.53        1.11
      262144         100       13.70      113.41       14.79        9.91
      524288         100       24.49      126.35       25.57       10.13
     1048576         100       46.05       69.16       46.36        2.31
     2097152         100       89.20       89.56       89.29        0.30
     4194304         100      175.53      175.90      175.61        0.45
------------------------------------------------------------------------
