---------------------------------------------------
    CXI RDMA Send Bandwidth Test
Device           : cxi0
Service ID       : 1
Client TX Mem    : System
Server RX Mem    : System
Test Type        : Iteration
Iterations       : 1000
Min Send Size    : 1
Max Send Size    : 4194304
List Size        : 256
IDC              : Enabled
Bidirectional    : Disabled
Rendezvous PUTs  : Disabled
Max RDMA Buf     : 4294967296 (1073741824 used)
RDMA Buf Align   : 64
Hugepages        : Disabled
Local (client)   : NIC 0x1 PID 0 VNI 1
Remote (server)  : NIC 0x0 PID 0
---------------------------------------------------
Send Size[B]       Sends  BW[MB/s]  PktRate[Mpkt/s]
           1      256000     13.86        13.860314
           2      256000     27.80        13.900201
           4      256000     55.63        13.906997
           8      256000    111.21        13.901711
          16      256000    222.51        13.906997
          32      256000    432.48        13.514940
          64      256000    887.64        13.869325
         128      256000   1266.54         9.894867
         256      256000   3116.46        12.173665
         512      256000   6203.71        12.116622
        1024      256000  11238.76        10.975348
        2048      256000  16212.25         7.916138
        4096      256000  19510.21         9.526468
        8192      256000  21624.36        10.558769
       16384      256000  22809.63        11.137517
       32768      256000  23481.32        11.465489
       65536      256000  20869.29        10.190081
      131072      256000  20807.40        10.159864
      262144      256000  16163.38         7.892275
      524288      256000  15726.31         7.678862
     1048576      256000  15711.22         7.671496
     2097152      256000  15705.32         7.668613
     4194304      256000  15702.18         7.667080
---------------------------------------------------
