
# OSU MPI All-to-All Personalized Exchange Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       2.90              2.78              3.12              3.36
2                       2.72              2.76              2.84              2.97
4                       2.75              2.76              2.80              2.95
8                       2.72              2.76              2.84              2.92
16                      2.72              2.76              2.80              2.93
32                      2.72              2.76              2.87              2.92
64                      2.75              2.78              2.83              2.94
128                     3.02              3.03              3.07              3.10
256                     3.75              3.70              3.94              3.99
512                     3.77              3.75              3.98              4.02
1024                    3.87              3.84              4.04              4.12
2048                    4.05              4.03              4.25              4.30
4096                    4.17              4.14              4.37              4.47
8192                    6.60              6.58              6.74              6.85
16384                   7.14              7.14              7.27              7.37
32768                   8.27              8.24              8.43              8.58
65536                  10.70             10.66             10.96             11.11
131072                 16.61             16.60             16.97             17.03
262144                 25.94             23.19             28.33             28.57
524288                 41.05             41.02             41.69             42.25
1048576                76.56             76.47             77.73             79.87
2097152               144.16            144.00            145.40            146.71
4194304               292.71            292.24            296.72            297.13
