
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       2.89              2.86              3.03              3.16
2                       2.88              2.88              2.92              2.99
4                       2.91              2.87              2.91              2.97
8                       2.85              2.87              2.91              2.94
16                      2.85              2.87              2.91              2.96
32                      2.87              2.87              2.92              2.95
64                      2.70              2.64              2.92              2.95
128                     2.64              2.63              2.69              2.78
256                     3.28              3.30              3.35              3.44
512                     3.31              3.33              3.38              3.50
1024                    3.45              3.43              3.58              3.63
2048                    3.56              3.56              3.62              3.73
4096                    3.52              3.51              3.59              3.69
8192                    6.00              5.98              6.21              6.28
16384                   6.34              6.33              6.44              6.46
32768                   7.01              7.00              7.16              7.25
65536                   8.47              8.41              8.57              8.76
131072                 11.22             11.22             11.32             11.45
262144                 18.10             16.38             17.07             67.42
524288                 27.26             27.22             27.54             27.55
1048576                48.87             48.85             49.03             49.09
2097152                92.39             92.32             92.62             93.75
4194304               179.12            179.10            179.34            179.41
