# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s) P50 Tail BW(MB/s) P95 Tail BW(MB/s) P99 Tail BW(MB/s)
# Datatype: MPI_CHAR.
1                       1.16              1.16              2.16              2.55
2                       5.07              5.11              5.15              5.15
4                      10.18             10.22             10.29             10.31
8                      20.35             20.46             20.57             20.62
16                     39.01             40.85             41.20             41.25
32                     81.33             81.61             82.13             82.39
64                    162.65            163.15            164.26            164.52
128                   322.12            324.47            327.21            328.65
256                   592.56            596.00            599.90            600.37
512                  1189.12           1192.43           1197.22           1200.73
1024                 2367.93           2371.83           2388.34           2393.48
2048                 4620.52           4664.15           4709.57           4718.04
4096                 8661.77           8810.08           9637.65           9673.21
8192                15930.81          16827.29          17030.08          17073.89
16384               19593.22          19610.91          19662.77          19725.65
32768               21761.40          21752.88          21829.87          21880.20
65536               22935.05          22937.49          22958.96          22961.48
131072              23483.11          23485.07          23504.15          23543.20
262144              23787.63          23795.07          23806.92          23810.61
524288              23922.73          23923.40          23931.08          23931.78
1048576             23991.59          23990.05          24003.37          24004.84
2097152             24025.41          24025.71          24033.69          24034.51
4194304             24043.22          24043.35          24047.17          24047.65
