
# OSU MPI Gather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       4.25              4.02              4.65              4.75
2                       1.22              1.21              1.25              1.29
4                       1.26              1.22              1.26              1.47
8                       1.22              1.21              1.25              1.29
16                      1.22              1.21              1.25              1.27
32                      1.26              1.22              1.25              1.28
64                      1.24              1.23              1.27              1.29
128                     1.63              1.63              1.65              1.67
256                     3.22              3.21              3.31              3.52
512                     3.26              3.25              3.42              3.50
1024                    3.38              3.34              3.63              3.67
2048                    3.50              3.49              3.54              3.79
4096                    3.51              3.50              3.60              3.71
8192                    5.93              5.91              6.08              6.22
16384                   6.28              6.27              6.49              6.53
32768                   6.94              6.90              7.22              7.26
65536                   8.51              8.49              8.67              8.72
131072                 14.79             14.69             14.99             16.77
262144                 21.60             21.53             21.78             21.88
524288                 35.80             35.70             36.30             36.71
1048576                63.48             62.75             64.29             65.34
2097152               117.54            117.41            118.17            119.00
4194304               227.78            227.64            230.05            232.19
