
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                      65.09             62.93            102.94            124.93
2                      47.75             44.40             79.36            106.27
4                     216.24            188.94            338.21            363.14
8                     196.10            189.44            297.33            329.22
16                     56.72             48.06             99.81            122.12
32                     47.76             42.90             72.15             90.96
64                     38.73             35.35             61.31             81.42
128                    41.17             40.18             63.04             67.95
256                    54.78             48.54             91.51            107.95
512                    46.52             38.44             80.69            107.71
1024                   41.23             38.46             56.67             62.59
2048                   44.38             42.97             51.43             75.58
4096                   75.30             73.48             98.46            107.33
8192                  177.18            172.99            232.52            260.42
16384                 239.49            232.36            313.21            363.63
32768                 311.48            312.49            354.89            362.89
65536                 442.79            432.49            535.63            552.49
131072                864.70            854.37           1060.68           1087.28
262144               1479.11           1483.10           1623.32           1658.58
524288               1974.64           1975.63           2190.86           2272.62
1048576              3225.77           3220.48           3358.28           3390.76
2097152              5435.56           5452.44           5653.71           5682.52
4194304             10236.12          10255.20          10429.44          10484.62
