
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                      22.44             19.32             39.35             51.82
2                      15.88             12.96             29.75             46.02
4                      13.99             12.96             22.76             35.15
8                      26.92             25.55             39.60             39.94
16                     19.52             14.69             34.79             63.93
32                     14.11             12.67             22.50             25.74
64                     13.05             12.72             15.10             22.78
128                    21.25             18.42             33.56             54.57
256                    27.14             13.07             23.69             26.75
512                    14.43             13.69             20.95             24.90
1024                   15.53             14.28             23.17             26.22
2048                   17.36             17.06             18.69             25.45
4096                   36.17             35.42             46.06             69.43
8192                   42.15             42.07             50.00             63.70
16384                  61.61             59.95             69.59             70.01
32768                  92.36             91.65            100.70            101.25
65536                 208.59            207.93            224.62            231.49
131072                291.04            291.26            302.35            313.46
262144                506.54            508.60            532.70            540.00
524288                966.52            950.00           1061.04           1112.84
1048576              1663.78           1664.93           1702.48           1718.43
2097152              3088.99           3095.38           3145.11           3173.50
4194304              6194.51           6157.23           6765.71           6866.43
