
# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                      23.68             20.44             38.96             54.97
2                      20.51             20.38             21.09             26.20
4                      20.48             20.40             20.99             24.06
8                      20.58             20.47             21.17             26.32
16                     20.59             20.46             21.13             26.53
32                     22.62             20.57             39.05             47.05
64                     25.54             21.14             39.36             46.71
128                    22.10             21.17             27.71             36.90
256                    21.40             21.21             22.36             26.86
512                    25.08             22.21             45.47             46.54
1024                   24.93             23.28             38.10             44.68
2048                   32.30             28.63             46.03             60.97
4096                   35.11             31.35             55.78             70.99
8192                   43.10             39.51             67.92             82.07
16384                  62.26             61.46             78.14             80.95
32768                 103.50             97.76            123.53            132.04
65536                 204.55            178.21            321.56            328.45
131072                334.26            278.53            457.11            476.66
262144                434.05            420.37            474.77            706.05
524288                748.43            654.21           1122.36           1133.97
1048576              1226.90           1119.01           1913.80           1935.51
2097152              2056.36           2055.19           2118.93           2137.03
4194304              3972.16           3923.96           4125.30           4285.04
