
# OSU MPI All-to-All Personalized Exchange Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                      22.83             20.42             37.04             69.71
2                      20.45             20.32             20.94             23.60
4                      20.52             20.40             21.01             26.17
8                      20.59             20.41             21.21             26.75
16                     21.29             20.15             27.73             33.38
32                     20.46             20.34             21.04             23.72
64                     20.84             20.66             21.41             26.83
128                    21.34             21.07             22.43             27.29
256                    21.42             21.17             22.29             28.64
512                    22.37             21.85             24.39             37.48
1024                   23.60             23.17             24.40             43.25
2048                   35.34             33.99             52.51             60.44
4096                   35.27             34.42             45.02             50.49
8192                   41.81             38.18             69.93             81.37
16384                  68.17             65.73             82.63             85.51
32768                  97.64             94.40            123.43            130.55
65536                 297.98            303.95            352.66            361.49
131072                467.58            463.89            503.07            554.57
262144                439.07            415.93            654.13            739.62
524288                731.50            678.67           1126.43           1200.49
1048576              1124.99           1117.85           1178.51           1222.23
2097152              2074.02           2076.29           2136.98           2147.27
4194304              3945.71           3930.53           4099.71           4204.28
