
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                      21.89             21.35             35.99             51.80
2                      25.83             25.73             30.70             49.90
4                      26.06             26.16             32.37             32.86
8                      25.92             26.04             31.64             32.29
16                     26.10             25.98             32.41             33.14
32                     25.98             23.87             32.74             39.55
64                     25.05             26.11             40.71             55.21
128                    19.19             21.19             31.47             56.00
256                    22.67             25.88             31.93             38.80
512                    21.28             21.73             27.61             33.70
1024                   17.74             17.45             21.82             23.25
2048                   19.65             19.12             31.48             33.53
4096                   22.57             21.36             35.20             38.67
8192                   46.11             45.02             51.28             75.82
16384                  49.15             47.14             56.79             59.74
32768                  82.54             88.26            101.07            102.44
65536                 165.41            165.99            195.11            199.86
131072                192.17            176.56            238.22            248.99
262144                290.70            301.92            343.43            350.73
524288                429.11            360.99            539.33            549.81
1048576               751.78            860.85            900.14            908.05
2097152              1260.68           1108.39           1635.76           1660.15
4194304              2835.28           3084.96           3161.79           3171.75
