# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s) P50 Tail BW(MB/s) P95 Tail BW(MB/s) P99 Tail BW(MB/s)
# Datatype: MPI_CHAR.
1                       0.27              0.29              0.37              0.38
2                       0.40              0.36              0.67              0.80
4                       0.74              0.67              1.13              1.19
8                       1.54              1.43              2.25              2.42
16                      3.02              2.84              4.49              5.94
32                     10.75             10.52             12.85             13.31
64                     16.26             16.59             18.21             18.41
128                    31.02             29.86             39.19             43.85
256                    59.28             61.26             92.35             99.62
512                   129.17            131.06            152.03            161.07
1024                  229.16            239.25            263.37            266.47
2048                  359.42            365.60            494.43            505.26
4096                  683.66            693.40            801.05            850.96
8192                  789.78            799.80            909.64            941.77
16384                 926.44            911.24            976.81           1008.01
32768                1063.82           1064.35           1081.41           1083.10
65536                1049.63           1041.70           1097.61           1113.50
131072               1115.08           1114.54           1135.98           1141.99
262144               1153.32           1153.61           1155.91           1156.08
524288               1164.83           1165.45           1167.05           1167.08
1048576              1170.94           1171.19           1172.06           1172.13
2097152              1174.12           1174.17           1174.56           1174.68
4194304              1174.99           1174.96           1175.31           1175.32
