
# OSU MPI Gather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                      49.68             42.71             99.11            117.34
2                      18.00             16.99             29.99             30.93
4                      17.22             17.01             28.13             30.68
8                      18.66             19.06             23.44             24.40
16                     18.85             19.32             23.45             24.56
32                     18.71             18.87             23.41             23.81
64                     18.26             18.73             23.29             24.00
128                    18.14             18.89             23.26             24.29
256                    12.11             16.98             23.70             26.06
512                    19.60             19.92             22.00             24.39
1024                   20.30             20.25             24.26             25.46
2048                   21.09             21.90             25.73             28.53
4096                   22.79             23.21             26.61             29.65
8192                   43.02             43.82             49.94             71.06
16384                  50.80             50.75             59.07             61.05
32768                  73.75             71.41             86.04             89.70
65536                 151.02            150.13            158.92            163.46
131072                269.54            268.85            314.90            345.89
262144                346.98            344.72            376.93            380.89
524288                616.74            618.32            654.61            665.53
1048576               969.02            965.45           1015.35           1021.75
2097152              1735.06           1736.44           1796.21           1801.05
4194304              3190.32           3203.68           3259.46           3268.93
