# OSU MPI Latency Test v7.3
# Size          Latency (us)  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
# Datatype: MPI_CHAR.
1                      22.03             21.92             22.69             26.04
2                      21.46             21.51             22.36             24.82
4                      21.78             21.80             22.48             25.27
8                      21.45             21.39             22.53             25.02
16                     20.33             20.30             21.85             23.30
32                     19.18             19.13             20.39             22.23
64                     19.45             19.37             20.80             22.37
128                    19.76             19.66             21.25             22.72
256                    20.47             20.35             21.56             23.50
512                    21.81             21.72             22.37             25.30
1024                   23.89             23.82             24.45             27.44
2048                   36.50             36.96             40.40             47.78
4096                   39.67             39.58             44.83             46.18
8192                   34.03             34.65             44.85             52.65
16384                  56.14             56.61             60.34             67.46
32768                  90.44             89.97             99.05            106.51
65536                 184.23            181.32            233.21            261.78
131072                274.41            273.06            300.82            311.24
262144                405.16            397.75            461.58            477.42
524288                651.70            645.74            712.65            731.56
1048576              1062.93           1058.71           1118.62           1149.93
2097152              1962.46           1959.41           2013.29           2035.11
4194304              3744.15           3740.20           3791.45           3814.09
