
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                      27.61             26.91             51.82             68.62
2                      37.60             36.78             48.40             55.14
4                      43.01             40.22             60.57            105.77
8                      22.24             22.10             32.74             39.93
16                     23.10             22.45             32.19             33.69
32                     18.87             19.73             31.11             38.83
64                     20.26             19.96             32.49             40.98
128                    19.24             19.68             23.75             27.15
256                    19.20             19.75             21.37             25.20
512                    13.25             12.90             20.71             25.49
1024                   14.85             14.99             20.11             22.54
2048                   24.19             24.04             31.48             33.56
4096                   18.36             19.78             22.81             32.93
8192                   37.89             39.87             42.33             44.63
16384                  44.63             44.51             47.78             49.27
32768                  70.88             70.62             78.83             82.96
65536                 170.83            171.53            180.22            185.88
131072                231.94            233.80            241.34            243.73
262144                342.18            345.80            374.74            382.66
524288                562.64            566.57            598.87            606.63
1048576               917.09            909.73            979.10            990.89
2097152              1664.95           1662.88           1705.90           1718.79
4194304              3126.89           3128.96           3216.60           3225.88
