
# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       2.96              2.86              3.17              3.31
2                       2.73              2.76              2.90              2.93
4                       2.73              2.76              2.90              2.96
8                       2.82              2.77              3.09              3.25
16                      2.84              2.77              3.14              3.26
32                      2.72              2.76              2.89              2.94
64                      2.76              2.78              2.92              2.96
128                     3.01              3.02              3.06              3.11
256                     3.72              3.69              3.94              3.97
512                     3.77              3.74              3.98              4.03
1024                    3.86              3.84              4.06              4.11
2048                    4.04              4.01              4.23              4.28
4096                    4.18              4.16              4.36              4.45
8192                    6.58              6.56              6.70              6.81
16384                   7.15              7.13              7.25              7.33
32768                   8.32              8.31              8.45              8.52
65536                  10.78             10.72             11.15             11.44
131072                 16.21             14.45             16.59             16.65
262144                 22.88             22.74             23.54             26.80
524288                 40.53             40.45             41.10             41.34
1048576                75.29             75.15             76.91             77.25
2097152               143.44            143.27            145.14            148.12
4194304               281.31            281.13            284.50            286.45
