
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       2.95              2.95              3.15              3.31
2                       5.88              5.84              6.06              6.16
4                       5.88              5.84              6.06              6.15
8                       3.16              3.20              3.37              3.55
16                      2.92              2.94              3.09              3.20
32                      2.91              2.93              3.08              3.14
64                      2.94              2.96              3.11              3.21
128                     3.18              3.18              3.27              3.33
256                     4.04              4.12              4.21              4.29
512                     4.13              4.20              4.32              4.39
1024                    4.25              4.33              4.41              4.50
2048                    4.58              4.65              4.72              4.84
4096                    8.52              8.44              8.77              8.92
8192                    7.79              7.75              8.07              8.16
16384                  14.57             14.42             14.93             15.06
32768                  16.38             16.30             16.71             16.76
65536                  20.69             19.57             20.02             24.22
131072                 29.69             29.62             30.46             30.84
262144                 48.61             48.49             49.00             50.67
524288                 68.71             68.69             70.41             71.00
1048576               122.59            122.56            125.24            127.26
2097152               231.25            230.92            236.37            238.03
4194304               464.11            464.31            469.50            474.70
