# OSU MPI Latency Test v7.3
# Size          Latency (us)  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
# Datatype: MPI_CHAR.
1                       2.09              2.08              2.10              2.15
2                       2.09              2.08              2.10              2.12
4                       2.11              2.11              2.13              2.14
8                       2.12              2.11              2.13              2.14
16                      2.13              2.12              2.14              2.18
32                      2.12              2.12              2.14              2.17
64                      2.13              2.13              2.14              2.16
128                     2.81              2.80              2.82              2.85
256                     2.90              2.89              2.91              2.93
512                     2.65              2.63              2.66              2.94
1024                    2.74              2.73              2.76              2.79
2048                    2.91              2.90              2.93              2.95
4096                    3.06              3.06              3.08              3.10
8192                    5.37              5.36              5.39              5.41
16384                   5.71              5.70              5.77              5.81
32768                   6.45              6.38              6.55              6.59
65536                   7.65              7.54              7.93              7.96
131072                 10.24             10.22             10.28             10.34
262144                 15.63             15.62             15.66             15.73
524288                 27.27             26.42             26.50             32.47
1048576                48.48             48.19             48.28             48.34
2097152                91.77             91.76             91.91             91.99
4194304               178.79            178.77            178.98            179.20
