
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       1.35              1.35              1.47              1.54
2                       4.23              4.18              4.44              4.52
4                       4.26              4.19              4.44              4.52
8                       1.30              1.29              1.33              1.46
16                      1.30              1.29              1.34              1.43
32                      1.29              1.28              1.35              1.46
64                      1.30              1.28              1.34              1.44
128                     1.69              1.68              1.71              1.83
256                     3.20              3.19              3.24              3.30
512                     3.25              3.24              3.38              3.47
1024                    3.33              3.32              3.44              3.56
2048                    3.59              3.57              3.75              3.87
4096                    4.07              4.10              4.17              4.29
8192                    6.42              6.41              6.62              6.73
16384                   6.91              6.85              7.08              7.22
32768                   8.01              7.98              8.21              8.29
65536                  10.40             10.36             10.59             10.83
131072                 14.95             14.91             15.14             15.19
262144                 24.84             24.34             24.56             26.81
524288                 42.03             42.01             42.34             42.42
1048576                66.36             66.27             66.92             67.86
2097152               127.09            126.92            127.54            131.43
4194304               250.99            250.21            255.86            256.85
