
# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                      49.15             46.10             75.91             93.77
2                      55.12             44.83            109.01            118.95
4                      49.67             41.86             90.86             93.64
8                      36.85             35.19             50.27             59.50
16                     48.04             48.68             71.57             83.43
32                     56.90             43.36             97.15            125.07
64                     53.62             46.47             77.96             99.69
128                    29.83             28.64             34.37             66.42
256                    48.50             43.46             72.74             82.44
512                    46.85             44.63             71.17             88.04
1024                   40.85             38.02             50.79             62.75
2048                   71.66             70.33            101.41            123.13
4096                  122.37            124.11            176.55            192.19
8192                  129.77            126.16            165.96            183.68
16384                 201.46            202.15            220.40            224.36
32768                 356.80            355.67            388.17            416.28
65536                 551.07            552.96            624.05            653.53
131072                813.68            827.55            901.39            930.52
262144               1382.08           1367.03           1594.91           1628.03
524288               2157.99           2211.62           2380.12           2406.45
1048576              3816.58           3680.27           4189.82           4213.57
2097152              7387.25           7790.44           8101.60           8348.21
4194304             15716.85          14438.84          17320.30          17407.30
