
# OSU MPI All-to-All Personalized Exchange Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                      50.98             44.25             96.31            122.07
2                      58.70             58.80             62.45             91.47
4                      58.32             58.75             60.88             61.93
8                      58.58             59.26             61.16             62.47
16                     58.89             59.83             61.19             62.93
32                     51.24             55.14             57.91             60.57
64                     49.23             50.48             64.09             67.61
128                    46.11             47.94             60.19             76.91
256                    65.88             65.84             82.62             86.25
512                    45.19             47.26             54.19             65.17
1024                   76.12             81.34             93.24             94.47
2048                   45.19             42.83             66.49             76.33
4096                   75.59             74.65            102.12            111.63
8192                  119.98            118.92            145.20            163.36
16384                 161.52            159.32            183.88            187.19
32768                 176.73            174.29            198.63            202.00
65536                 392.69            386.51            461.60            504.40
131072                580.42            535.40            902.90            951.77
262144               1015.16            968.25           1426.47           1747.69
524288               2664.27           2704.86           2850.24           2862.73
1048576              3361.20           3324.11           3631.10           3834.23
2097152              6379.82           6340.69           6814.99           6909.21
4194304             12259.23          12223.90          12745.84          13040.18
