# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s) P50 Tail BW(MB/s) P95 Tail BW(MB/s) P99 Tail BW(MB/s)
# Datatype: MPI_CHAR.
1                       0.37              0.36              0.47              0.59
2                       0.82              0.79              1.19              1.36
4                       1.65              1.67              1.94              2.01
8                       3.02              2.91              4.40              4.87
16                      8.71              9.05             11.02             11.82
32                     15.25             15.89             21.40             23.10
64                     36.30             37.62             44.74             46.38
128                    44.43             44.17             56.09             56.33
256                    85.18             85.83             91.12             92.73
512                   136.42            132.43            168.14            173.12
1024                  269.94            244.72            465.32            477.53
2048                  454.48            461.46            563.99            597.63
4096                  678.37            684.31            707.12            711.65
8192                  851.70            875.68            962.70            975.74
16384                 966.49            965.93            994.78           1023.16
32768                1054.94           1060.37           1091.22           1097.04
65536                1068.98           1074.71           1095.78           1100.30
131072               1122.45           1121.59           1142.50           1145.48
262144               1156.26           1155.72           1159.80           1162.69
524288               1165.65           1165.94           1167.20           1167.75
1048576              1171.34           1171.29           1173.13           1173.13
2097152              1174.01           1173.89           1174.80           1174.97
4194304              1175.38           1175.39           1175.73           1175.94
