
# OSU MPI Gather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                      22.57             18.21             35.10             37.65
2                      27.10             30.11             34.56             35.23
4                      28.48             33.42             34.33             34.83
8                      14.41             14.24             17.92             27.14
16                     15.52             15.29             17.99             18.43
32                     14.56             15.10             15.99             17.03
64                     13.71             13.07             17.54             18.06
128                    15.09             15.48             17.80             18.42
256                    15.37             15.91             17.19             18.49
512                    16.53             16.31             19.13             21.06
1024                   12.99             12.03             15.99             16.92
2048                   12.95             13.08             13.68             14.29
4096                   17.87             17.71             20.25             22.11
8192                   40.65             39.72             47.80             51.59
16384                  54.95             55.22             57.64             60.03
32768                  49.29             49.38             51.09             51.60
65536                 237.54            238.67            249.06            253.37
131072                858.02            359.30            375.59            379.75
262144                674.96            665.44            771.02            807.50
524288               1077.05           1084.11           1135.89           1146.10
1048576              1796.33           1795.13           1889.20           1908.48
2097152              3213.97           3213.60           3311.28           3341.54
4194304              6508.11           6484.17           6938.10           7061.11
