# OSU MPI Latency Test v7.3
# Size          Latency (us)  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
# Datatype: MPI_CHAR.
1                      12.80             12.00             20.34             28.64
2                      12.04             12.00             12.44             13.38
4                      12.17             12.14             12.56             13.28
8                      12.28             12.26             12.64             13.62
16                     12.36             12.34             12.72             13.78
32                     12.25             12.16             12.64             13.84
64                     12.39             12.36             12.84             13.86
128                    12.57             12.50             13.20             13.92
256                    12.95             12.90             13.46             14.32
512                    13.63             13.52             14.02             15.10
1024                   15.86             15.84             16.26             17.22
2048                   22.48             23.48             30.84             33.90
4096                   24.42             24.34             32.32             40.52
8192                   47.90             48.18             51.26             54.94
16384                  60.14             48.66             86.68             88.06
32768                  71.31             69.12             82.52             95.60
65536                 158.20            157.74            165.92            172.84
131072                241.09            242.48            262.54            278.62
262144                357.48            354.76            379.90            390.98
524288                590.83            588.22            643.02            664.04
1048576              1052.30           1049.36           1096.94           1107.18
2097152              1966.08           1930.70           1986.74           2001.02
4194304              3719.16           3715.82           3765.62           3791.86
