
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                      18.64             16.99             29.32             49.51
2                      14.55             13.65             16.02             52.64
4                      14.91             14.36             15.52             50.27
8                      19.00             18.98             23.58             31.98
16                     15.52             14.53             20.56             21.33
32                     16.71             14.75             24.24             32.08
64                     15.96             15.45             19.31             20.56
128                    14.27             13.85             16.79             18.38
256                    15.84             15.45             19.71             22.74
512                    15.63             15.25             19.33             20.51
1024                   41.93             18.37             33.41             39.34
2048                   23.38             23.32             24.67             26.62
4096                   45.12             46.21             54.62             59.24
8192                   59.81             58.75             73.20             81.23
16384                  83.15             81.56             95.71             97.92
32768                 163.64            163.06            180.56            184.47
65536                 262.76            260.18            282.32            286.63
131072                292.83            284.41            327.05            333.27
262144                758.66            754.27            795.74            814.64
524288                890.43            905.24            923.69            927.88
1048576              2501.09           2499.71           2547.41           2575.49
2097152              4807.60           4804.19           4854.92           4889.67
4194304              9807.57           9766.24          10075.53          10173.11
