
# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                      22.10             20.65             34.79             37.48
2                      61.01             42.30            114.42            131.72
4                      41.22             41.02             42.33             48.29
8                      20.78             20.65             21.45             26.30
16                     20.71             20.58             21.34             26.43
32                     22.62             20.86             35.76             56.82
64                     21.02             20.86             21.68             26.59
128                    22.23             21.45             27.76             39.14
256                    21.57             21.43             22.37             27.12
512                    22.37             22.22             23.19             29.26
1024                   26.26             23.56             38.97             47.92
2048                   35.48             31.20             55.48             64.48
4096                   67.03             63.50             89.75             99.49
8192                   36.54             35.00             45.67             49.79
16384                  92.70             91.18            113.56            124.93
32768                 134.11            132.77            154.83            165.25
65536                 202.11            195.47            247.77            342.51
131072                551.00            543.65            740.58            772.29
262144                864.55            873.37           1090.21           1189.99
524288               1108.34           1094.64           1530.55           1616.86
1048576              1464.06           1300.50           1878.08           2491.26
2097152              2502.39           2293.57           3215.09           3250.58
4194304              4560.91           4147.59           5765.24           5855.73
