# OSU MPI Bi-Directional Bandwidth Test v7.3
# Size      Bandwidth (MB/s) P50 Tail BW(MB/s) P95 Tail BW(MB/s) P99 Tail BW(MB/s)
# Datatype: MPI_CHAR.
1                       0.48              0.59              0.99              1.08
2                       0.62              0.55              2.34              2.45
4                       1.05              0.94              3.98              4.30
8                       2.37              2.96              8.49              9.07
16                      4.79              6.58             15.64             16.40
32                     11.59             10.61             36.65             37.64
64                     27.02             24.38             73.40             74.84
128                    48.54             38.84            141.90            144.71
256                    69.07            121.85            247.54            254.44
512                   307.19            323.07            397.20            416.92
1024                  493.52            537.11            770.00           1015.92
2048                  790.36            823.53           1706.19           1887.88
4096                 1239.05           1259.47           2635.73           2885.22
8192                 1704.66           1661.87           2761.30           2935.64
16384                1926.44           1908.06           2621.36           2819.40
32768                1968.31           2185.69           2440.95           2527.03
65536                1109.28            812.38           1923.78           1935.00
131072               1156.76           1135.40           1421.60           1422.13
262144               1151.46           1067.77           1310.27           1312.85
524288               1198.78           1216.17           1238.53           2108.67
1048576              1173.06           1146.77           1208.12           1208.59
2097152              1174.68           1162.82           1190.29           1191.16
4194304              1175.66           1169.27           1184.44           1184.49
