server;client;min_latency;mean_latency;max_latency;stddev_latency
cn01;cn02;24;27.25;1963;2.22
cn01;cn03;24;27.49;247;1.82
cn01;cn04;24;28.53;259;1.30
cn01;infra1;29;34.59;242;2.00
cn01;infra2;30;35.08;255;1.74
cn02;cn01;25;27.83;187;1.33
cn02;cn03;23;27.61;216;1.83
cn02;cn04;23;27.11;1061;1.48
cn02;infra1;32;36.61;4021;6.83
cn02;infra2;29;32.86;258;1.33
cn03;cn01;24;27.53;1215;1.54
cn03;cn02;24;26.86;244;1.30
cn03;cn04;25;29.19;183;1.16
cn03;infra1;29;33.09;358;1.41
cn03;infra2;29;34.70;263;1.83
cn04;cn01;25;28.81;200;1.13
cn04;cn02;23;29.29;229;1.14
cn04;cn03;22;25.76;184;1.17
cn04;infra1;30;34.31;238;1.97
cn04;infra2;31;35.90;2788;2.65
infra1;cn01;33;37.65;248;1.89
infra1;cn02;31;36.65;195;1.93
infra1;cn03;30;34.44;216;1.77
infra1;cn04;29;33.64;229;1.99
infra1;infra2;35;43.13;342;2.46
infra2;cn01;30;34.70;202;1.78
infra2;cn02;29;34.18;233;2.18
infra2;cn03;31;35.83;285;1.94
infra2;cn04;28;31.82;177;2.01
infra2;infra1;37;45.41;618;2.13
