---------------------------------------------------
    CXI RDMA Read Bandwidth Test
Device           : cxi0
Service ID       : 1
Client TX Mem    : System
Server RX Mem    : System
Test Type        : Iteration
Iterations       : 1000
Min Read Size    : 1
Max Read Size    : 4194304
List Size        : 256
Restricted       : Enabled
Bidirectional    : Disabled
Max RDMA Buf     : 4294967296 (1073741824 used)
RDMA Buf Align   : 64
Hugepages        : Disabled
Local (client)   : NIC 0x1 PID 0 VNI 1
Remote (server)  : NIC 0x0 PID 0
---------------------------------------------------
RDMA Size[B]       Reads  BW[MB/s]  PktRate[Mpkt/s]
           1      256000     30.07        30.071655
           2      256000     60.44        30.220753
           4      256000    120.90        30.224321
           8      256000    241.20        30.149570
          16      256000    484.45        30.277942
          32      256000    968.09        30.252895
          64      256000   1877.61        29.337612
         128      256000   3480.77        27.193542
         256      256000   6079.97        23.749884
         512      256000   9768.37        19.078849
        1024      256000  14083.16        13.753089
        2048      256000  17762.24         8.672968
        4096      256000  20565.56        10.041775
        8192      256000  22229.02        10.854011
       16384      256000  23194.74        11.325554
       32768      256000  23687.80        11.566309
       65536      256000  23969.13        11.703676
      131072      256000  24121.50        11.778077
      262144      256000  24195.07        11.813997
      524288      256000  24242.18        11.837002
     1048576      256000  24260.42        11.845907
     2097152      256000  24270.64        11.850896
     4194304      256000  24272.52        11.851818
---------------------------------------------------
