---------------------------------------------------
    CXI RDMA Write Bandwidth Test
Device           : cxi0
Service ID       : 1
Client TX Mem    : System
Server RX Mem    : System
Test Type        : Iteration
Iterations       : 1000
Min Write Size   : 1
Max Write Size   : 4194304
List Size        : 256
HRP              : Enabled
IDC              : Enabled
Restricted       : Enabled
Bidirectional    : Disabled
Max RDMA Buf     : 4294967296 (1073741824 used)
RDMA Buf Align   : 64
Hugepages        : Disabled
Local (client)   : NIC 0x1 PID 0 VNI 1
Remote (server)  : NIC 0x0 PID 0
---------------------------------------------------
RDMA Size[B]      Writes  BW[MB/s]  PktRate[Mpkt/s]
           1      256000     22.30        22.301594
           2      256000     44.66        22.330775
           4      256000     89.24        22.309368
           8      256000    178.90        22.361985
          16      256000    357.60        22.350271
          32      256000    716.52        22.391323
          64      256000   1428.80        22.324932
         128      256000   2857.09        22.321039
         256      256000   5703.25        22.278305
         512      256000  10001.68        19.534529
        1024      256000  14397.19        14.059754
        2048      256000  18220.89         8.896921
        4096      256000  20433.31         9.977201
        8192      256000  22191.85        10.835864
       16384      256000  23180.89        11.318794
       32768      256000  23699.44        11.571994
       65536      256000  23967.28        11.702774
      131072      256000  24118.62        11.776672
      262144      256000  24139.98        11.787101
      524288      256000  24206.74        11.819695
     1048576      256000  24238.59        11.835249
     2097152      256000  24243.58        11.837687
     4194304      256000  24254.04        11.842794
---------------------------------------------------
